-------------------------last log tuples start--------------------------------
Time [clock=11, time=2015-05-26 11:04:58.609]
org notification: Time [clock=11, time=2015-05-26 11:04:58.609]
Time [clock=26, time=2015-05-26 11:04:59.214]
org notification: Time [clock=11, time=2015-05-26 11:04:58.609]
org notification: Time [clock=11, time=2015-05-26 11:04:58.609]
org notification: Time [clock=11, time=2015-05-26 11:04:58.609]
org notification: Time [clock=11, time=2015-05-26 11:04:58.609]
org notification: Time [clock=11, time=2015-05-26 11:04:58.609]
org notification: Time [clock=11, time=2015-05-26 11:04:58.609]
org notification: Time [clock=11, time=2015-05-26 11:04:58.609]
org notification: Time [clock=26, time=2015-05-26 11:04:59.214]
org notification: Time [clock=26, time=2015-05-26 11:04:59.214]
org notification: Time [clock=26, time=2015-05-26 11:04:59.214]
org notification: Time [clock=26, time=2015-05-26 11:04:59.214]
org notification: Time [clock=26, time=2015-05-26 11:04:59.214]
org notification: Time [clock=26, time=2015-05-26 11:04:59.214]
org notification: Time [clock=26, time=2015-05-26 11:04:59.214]
org notification: Time [clock=26, time=2015-05-26 11:04:59.214]
Time [clock=45, time=2015-05-26 11:05:19.044]
org notification: Time [clock=45, time=2015-05-26 11:05:19.044]
org notification: Time [clock=45, time=2015-05-26 11:05:19.044]
org notification: Time [clock=45, time=2015-05-26 11:05:19.044]
org notification: Time [clock=45, time=2015-05-26 11:05:19.044]
org notification: Time [clock=45, time=2015-05-26 11:05:19.044]
org notification: Time [clock=45, time=2015-05-26 11:05:19.044]
org notification: Time [clock=45, time=2015-05-26 11:05:19.044]
org notification: Time [clock=45, time=2015-05-26 11:05:19.044]
Time [clock=14, time=2015-05-26 11:05:28.615]
org notification: Time [clock=14, time=2015-05-26 11:05:28.615]
org notification: Time [clock=14, time=2015-05-26 11:05:28.615]
org notification: Time [clock=14, time=2015-05-26 11:05:28.615]
org notification: Time [clock=14, time=2015-05-26 11:05:28.615]
org notification: Time [clock=14, time=2015-05-26 11:05:28.615]
org notification: Time [clock=14, time=2015-05-26 11:05:28.615]
org notification: Time [clock=14, time=2015-05-26 11:05:28.615]
org notification: Time [clock=14, time=2015-05-26 11:05:28.615]
Time [clock=22, time=2015-05-26 11:05:24.875]
org notification: Time [clock=22, time=2015-05-26 11:05:24.875]
org notification: Time [clock=22, time=2015-05-26 11:05:24.875]
org notification: Time [clock=22, time=2015-05-26 11:05:24.875]
org notification: Time [clock=22, time=2015-05-26 11:05:24.875]
org notification: Time [clock=22, time=2015-05-26 11:05:24.875]
org notification: Time [clock=22, time=2015-05-26 11:05:24.875]
org notification: Time [clock=22, time=2015-05-26 11:05:24.875]
org notification: Time [clock=22, time=2015-05-26 11:05:24.875]
Time [clock=20, time=2015-05-26 11:05:04.87]
org notification: Time [clock=20, time=2015-05-26 11:05:04.87]
org notification: Time [clock=20, time=2015-05-26 11:05:04.87]
org notification: Time [clock=20, time=2015-05-26 11:05:04.87]
org notification: Time [clock=20, time=2015-05-26 11:05:04.87]
org notification: Time [clock=20, time=2015-05-26 11:05:04.87]
org notification: Time [clock=20, time=2015-05-26 11:05:04.87]
org notification: Time [clock=20, time=2015-05-26 11:05:04.87]
org notification: Time [clock=20, time=2015-05-26 11:05:04.87]
Time [clock=47, time=2015-05-26 11:05:08.756]
org notification: Time [clock=47, time=2015-05-26 11:05:08.756]
org notification: Time [clock=47, time=2015-05-26 11:05:08.756]
org notification: Time [clock=47, time=2015-05-26 11:05:08.756]
org notification: Time [clock=47, time=2015-05-26 11:05:08.756]
org notification: Time [clock=47, time=2015-05-26 11:05:08.756]
org notification: Time [clock=47, time=2015-05-26 11:05:08.756]
org notification: Time [clock=47, time=2015-05-26 11:05:08.756]
org notification: Time [clock=47, time=2015-05-26 11:05:08.756]
Time [clock=23, time=2015-05-26 11:05:34.877]
org notification: Time [clock=23, time=2015-05-26 11:05:34.877]
org notification: Time [clock=23, time=2015-05-26 11:05:34.877]
org notification: Time [clock=23, time=2015-05-26 11:05:34.877]
org notification: Time [clock=23, time=2015-05-26 11:05:34.877]
org notification: Time [clock=23, time=2015-05-26 11:05:34.877]
org notification: Time [clock=23, time=2015-05-26 11:05:34.877]
org notification: Time [clock=23, time=2015-05-26 11:05:34.877]
org notification: Time [clock=23, time=2015-05-26 11:05:34.877]
Time [clock=48, time=2015-05-26 11:05:18.759]
org notification: Time [clock=48, time=2015-05-26 11:05:18.759]
org notification: Time [clock=48, time=2015-05-26 11:05:18.759]
org notification: Time [clock=48, time=2015-05-26 11:05:18.759]
org notification: Time [clock=48, time=2015-05-26 11:05:18.759]
org notification: Time [clock=48, time=2015-05-26 11:05:18.759]
org notification: Time [clock=48, time=2015-05-26 11:05:18.759]
org notification: Time [clock=48, time=2015-05-26 11:05:18.759]
org notification: Time [clock=48, time=2015-05-26 11:05:18.759]
Time [clock=27, time=2015-05-26 11:05:09.217]
org notification: Time [clock=27, time=2015-05-26 11:05:09.217]
org notification: Time [clock=27, time=2015-05-26 11:05:09.217]
org notification: Time [clock=27, time=2015-05-26 11:05:09.217]
org notification: Time [clock=27, time=2015-05-26 11:05:09.217]
org notification: Time [clock=27, time=2015-05-26 11:05:09.217]
org notification: Time [clock=27, time=2015-05-26 11:05:09.217]
org notification: Time [clock=27, time=2015-05-26 11:05:09.217]
org notification: Time [clock=27, time=2015-05-26 11:05:09.217]
Time [clock=49, time=2015-05-26 11:05:28.762]
org notification: Time [clock=49, time=2015-05-26 11:05:28.762]
org notification: Time [clock=49, time=2015-05-26 11:05:28.762]
org notification: Time [clock=49, time=2015-05-26 11:05:28.762]
org notification: Time [clock=49, time=2015-05-26 11:05:28.762]
org notification: Time [clock=49, time=2015-05-26 11:05:28.762]
org notification: Time [clock=49, time=2015-05-26 11:05:28.762]
org notification: Time [clock=49, time=2015-05-26 11:05:28.762]
org notification: Time [clock=49, time=2015-05-26 11:05:28.762]
Time [clock=4, time=2015-05-26 11:05:32.677]
org notification: Time [clock=4, time=2015-05-26 11:05:32.677]
org notification: Time [clock=4, time=2015-05-26 11:05:32.677]
org notification: Time [clock=4, time=2015-05-26 11:05:32.677]
org notification: Time [clock=4, time=2015-05-26 11:05:32.677]
org notification: Time [clock=4, time=2015-05-26 11:05:32.677]
org notification: Time [clock=4, time=2015-05-26 11:05:32.677]
org notification: Time [clock=4, time=2015-05-26 11:05:32.677]
org notification: Time [clock=4, time=2015-05-26 11:05:32.677]
Time [clock=37, time=2015-05-26 11:05:34.509]
org notification: Time [clock=37, time=2015-05-26 11:05:34.509]
org notification: Time [clock=37, time=2015-05-26 11:05:34.509]
org notification: Time [clock=37, time=2015-05-26 11:05:34.509]
org notification: Time [clock=37, time=2015-05-26 11:05:34.509]
org notification: Time [clock=37, time=2015-05-26 11:05:34.509]
org notification: Time [clock=37, time=2015-05-26 11:05:34.509]
org notification: Time [clock=37, time=2015-05-26 11:05:34.509]
org notification: Time [clock=37, time=2015-05-26 11:05:34.509]
Time [clock=36, time=2015-05-26 11:05:24.508]
org notification: Time [clock=36, time=2015-05-26 11:05:24.508]
org notification: Time [clock=36, time=2015-05-26 11:05:24.508]
org notification: Time [clock=36, time=2015-05-26 11:05:24.508]
org notification: Time [clock=36, time=2015-05-26 11:05:24.508]
org notification: Time [clock=36, time=2015-05-26 11:05:24.508]
org notification: Time [clock=36, time=2015-05-26 11:05:24.508]
org notification: Time [clock=36, time=2015-05-26 11:05:24.508]
org notification: Time [clock=36, time=2015-05-26 11:05:24.508]
org notification: Time [clock=35, time=2015-05-26 11:05:14.505]
org notification: Time [clock=35, time=2015-05-26 11:05:14.505]
org notification: Time [clock=35, time=2015-05-26 11:05:14.505]
org notification: Time [clock=35, time=2015-05-26 11:05:14.505]
org notification: Time [clock=35, time=2015-05-26 11:05:14.505]
org notification: Time [clock=35, time=2015-05-26 11:05:14.505]
org notification: Time [clock=35, time=2015-05-26 11:05:14.505]
org notification: Time [clock=35, time=2015-05-26 11:05:14.505]
Time [clock=35, time=2015-05-26 11:05:14.505]
Time [clock=19, time=2015-05-26 11:04:54.868]
org notification: Time [clock=19, time=2015-05-26 11:04:54.868]
org notification: Time [clock=19, time=2015-05-26 11:04:54.868]
org notification: Time [clock=19, time=2015-05-26 11:04:54.868]
org notification: Time [clock=19, time=2015-05-26 11:04:54.868]
org notification: Time [clock=19, time=2015-05-26 11:04:54.868]
org notification: Time [clock=19, time=2015-05-26 11:04:54.868]
org notification: Time [clock=19, time=2015-05-26 11:04:54.868]
org notification: Time [clock=19, time=2015-05-26 11:04:54.868]
Time [clock=28, time=2015-05-26 11:05:19.219]
org notification: Time [clock=28, time=2015-05-26 11:05:19.219]
org notification: Time [clock=28, time=2015-05-26 11:05:19.219]
org notification: Time [clock=28, time=2015-05-26 11:05:19.219]
org notification: Time [clock=28, time=2015-05-26 11:05:19.219]
org notification: Time [clock=28, time=2015-05-26 11:05:19.219]
org notification: Time [clock=28, time=2015-05-26 11:05:19.219]
org notification: Time [clock=28, time=2015-05-26 11:05:19.219]
org notification: Time [clock=28, time=2015-05-26 11:05:19.219]
Time [clock=46, time=2015-05-26 11:05:29.047]
org notification: Time [clock=46, time=2015-05-26 11:05:29.047]
org notification: Time [clock=46, time=2015-05-26 11:05:29.047]
org notification: Time [clock=46, time=2015-05-26 11:05:29.047]
org notification: Time [clock=46, time=2015-05-26 11:05:29.047]
org notification: Time [clock=46, time=2015-05-26 11:05:29.047]
org notification: Time [clock=46, time=2015-05-26 11:05:29.047]
org notification: Time [clock=46, time=2015-05-26 11:05:29.047]
org notification: Time [clock=46, time=2015-05-26 11:05:29.047]
Time [clock=29, time=2015-05-26 11:05:29.222]
org notification: Time [clock=29, time=2015-05-26 11:05:29.222]
org notification: Time [clock=29, time=2015-05-26 11:05:29.222]
org notification: Time [clock=29, time=2015-05-26 11:05:29.222]
org notification: Time [clock=29, time=2015-05-26 11:05:29.222]
org notification: Time [clock=29, time=2015-05-26 11:05:29.222]
org notification: Time [clock=29, time=2015-05-26 11:05:29.222]
org notification: Time [clock=29, time=2015-05-26 11:05:29.222]
org notification: Time [clock=29, time=2015-05-26 11:05:29.222]
Time [clock=17, time=2015-05-26 11:05:31.998]
org notification: Time [clock=17, time=2015-05-26 11:05:31.998]
org notification: Time [clock=17, time=2015-05-26 11:05:31.998]
org notification: Time [clock=17, time=2015-05-26 11:05:31.998]
org notification: Time [clock=17, time=2015-05-26 11:05:31.998]
org notification: Time [clock=17, time=2015-05-26 11:05:31.998]
org notification: Time [clock=17, time=2015-05-26 11:05:31.998]
org notification: Time [clock=17, time=2015-05-26 11:05:31.998]
org notification: Time [clock=17, time=2015-05-26 11:05:31.998]
Time [clock=16, time=2015-05-26 11:05:21.995]
org notification: Time [clock=16, time=2015-05-26 11:05:21.995]
org notification: Time [clock=16, time=2015-05-26 11:05:21.995]
org notification: Time [clock=16, time=2015-05-26 11:05:21.995]
org notification: Time [clock=16, time=2015-05-26 11:05:21.995]
org notification: Time [clock=16, time=2015-05-26 11:05:21.995]
org notification: Time [clock=16, time=2015-05-26 11:05:21.995]
org notification: Time [clock=16, time=2015-05-26 11:05:21.995]
org notification: Time [clock=16, time=2015-05-26 11:05:21.995]
Time [clock=15, time=2015-05-26 11:05:11.992]
org notification: Time [clock=15, time=2015-05-26 11:05:11.992]
org notification: Time [clock=15, time=2015-05-26 11:05:11.992]
org notification: Time [clock=15, time=2015-05-26 11:05:11.992]
org notification: Time [clock=15, time=2015-05-26 11:05:11.992]
org notification: Time [clock=15, time=2015-05-26 11:05:11.992]
org notification: Time [clock=15, time=2015-05-26 11:05:11.992]
org notification: Time [clock=15, time=2015-05-26 11:05:11.992]
org notification: Time [clock=15, time=2015-05-26 11:05:11.992]
Time [clock=14, time=2015-05-26 11:05:01.99]
org notification: Time [clock=14, time=2015-05-26 11:05:01.99]
org notification: Time [clock=14, time=2015-05-26 11:05:01.99]
org notification: Time [clock=14, time=2015-05-26 11:05:01.99]
org notification: Time [clock=14, time=2015-05-26 11:05:01.99]
org notification: Time [clock=14, time=2015-05-26 11:05:01.99]
org notification: Time [clock=14, time=2015-05-26 11:05:01.99]
org notification: Time [clock=14, time=2015-05-26 11:05:01.99]
org notification: Time [clock=14, time=2015-05-26 11:05:01.99]
org notification: Time [clock=21, time=2015-05-26 11:05:14.872]
Time [clock=21, time=2015-05-26 11:05:14.872]
org notification: Time [clock=21, time=2015-05-26 11:05:14.872]
org notification: Time [clock=21, time=2015-05-26 11:05:14.872]
org notification: Time [clock=21, time=2015-05-26 11:05:14.872]
org notification: Time [clock=21, time=2015-05-26 11:05:14.872]
org notification: Time [clock=21, time=2015-05-26 11:05:14.872]
org notification: Time [clock=21, time=2015-05-26 11:05:14.872]
org notification: Time [clock=21, time=2015-05-26 11:05:14.872]
Time [clock=33, time=2015-05-26 11:04:54.499]
org notification: Time [clock=33, time=2015-05-26 11:04:54.499]
org notification: Time [clock=33, time=2015-05-26 11:04:54.499]
org notification: Time [clock=33, time=2015-05-26 11:04:54.499]
org notification: Time [clock=33, time=2015-05-26 11:04:54.499]
org notification: Time [clock=33, time=2015-05-26 11:04:54.499]
org notification: Time [clock=33, time=2015-05-26 11:04:54.499]
org notification: Time [clock=33, time=2015-05-26 11:04:54.499]
org notification: Time [clock=33, time=2015-05-26 11:04:54.499]
Time [clock=3, time=2015-05-26 11:05:22.674]
org notification: Time [clock=3, time=2015-05-26 11:05:22.674]
org notification: Time [clock=3, time=2015-05-26 11:05:22.674]
org notification: Time [clock=3, time=2015-05-26 11:05:22.674]
org notification: Time [clock=3, time=2015-05-26 11:05:22.674]
org notification: Time [clock=3, time=2015-05-26 11:05:22.674]
org notification: Time [clock=3, time=2015-05-26 11:05:22.674]
org notification: Time [clock=3, time=2015-05-26 11:05:22.674]
Time [clock=43, time=2015-05-26 11:04:59.038]
org notification: Time [clock=43, time=2015-05-26 11:04:59.038]
org notification: Time [clock=43, time=2015-05-26 11:04:59.038]
org notification: Time [clock=43, time=2015-05-26 11:04:59.038]
org notification: Time [clock=43, time=2015-05-26 11:04:59.038]
org notification: Time [clock=43, time=2015-05-26 11:04:59.038]
org notification: Time [clock=43, time=2015-05-26 11:04:59.038]
org notification: Time [clock=43, time=2015-05-26 11:04:59.038]
org notification: Time [clock=3, time=2015-05-26 11:05:22.674]
org notification: Time [clock=43, time=2015-05-26 11:04:59.038]
Time [clock=13, time=2015-05-26 11:05:18.612]
org notification: Time [clock=13, time=2015-05-26 11:05:18.612]
org notification: Time [clock=13, time=2015-05-26 11:05:18.612]
