-------------------------last log tuples start--------------------------------
Time [clock=2, time=null]
Time [clock=3, time=null]
Tile [id=null, cell=Cell [x=0, y=4], subject=green, time=2015-04-21 20:05:28.578, clock=0]
Tile [id=null, cell=Cell [x=3, y=1], subject=orange, time=2015-04-21 20:05:28.39, clock=0]
Tile [id=null, cell=Cell [x=3, y=2], subject=purple, time=2015-04-21 20:05:48.977, clock=0]
Tile [id=null, cell=Cell [x=1, y=2], subject=red, time=2015-04-21 20:05:28.582, clock=0]
Tile [id=null, cell=Cell [x=3, y=0], subject=red, time=2015-04-21 20:05:28.593, clock=0]
Tile [id=null, cell=Cell [x=1, y=4], subject=purple, time=2015-04-21 20:05:28.585, clock=0]
Tile [id=null, cell=Cell [x=4, y=1], subject=purple, time=2015-04-21 20:05:28.396, clock=0]
Tile [id=null, cell=Cell [x=1, y=4], subject=purple, time=2015-04-21 20:05:48.968, clock=0]
Tile [id=null, cell=Cell [x=0, y=1], subject=green, time=2015-04-21 20:05:28.573, clock=0]
Tile [id=null, cell=Cell [x=0, y=0], subject=green, time=2015-04-21 20:05:48.955, clock=0]
Tile [id=null, cell=Cell [x=4, y=3], subject=purple, time=2015-04-21 20:05:28.604, clock=0]
Tile [id=null, cell=Cell [x=1, y=3], subject=red, time=2015-04-21 20:05:28.584, clock=0]
Tile [id=null, cell=Cell [x=3, y=1], subject=orange, time=2015-04-21 20:05:28.594, clock=0]
Tile [id=null, cell=Cell [x=0, y=2], subject=red, time=2015-04-21 20:05:28.575, clock=0]
Tile [id=null, cell=Cell [x=4, y=1], subject=purple, time=2015-04-21 20:05:28.601, clock=0]
Tile [id=null, cell=Cell [x=1, y=3], subject=red, time=2015-04-21 20:05:48.967, clock=0]
Tile [id=null, cell=Cell [x=4, y=4], subject=green, time=2015-04-21 20:05:28.606, clock=0]
Tile [id=null, cell=Cell [x=3, y=3], subject=purple, time=2015-04-21 20:05:28.597, clock=0]
Tile [id=null, cell=Cell [x=4, y=3], subject=purple, time=2015-04-21 20:05:28.399, clock=0]
Tile [id=null, cell=Cell [x=2, y=4], subject=red, time=2015-04-21 20:05:28.592, clock=0]
Tile [id=null, cell=Cell [x=4, y=0], subject=green, time=2015-04-21 20:05:28.6, clock=0]
Tile [id=null, cell=Cell [x=1, y=2], subject=red, time=2015-04-21 20:05:48.965, clock=0]
Tile [id=null, cell=Cell [x=2, y=0], subject=red, time=2015-04-21 20:05:28.384, clock=0]
Tile [id=null, cell=Cell [x=2, y=3], subject=purple, time=2015-04-21 20:05:28.388, clock=0]
Tile [id=null, cell=Cell [x=1, y=2], subject=red, time=2015-04-21 20:05:28.379, clock=0]
Tile [id=null, cell=Cell [x=3, y=3], subject=purple, time=2015-04-21 20:05:28.392, clock=0]
Tile [id=null, cell=Cell [x=1, y=1], subject=orange, time=2015-04-21 20:05:28.377, clock=0]
Tile [id=null, cell=Cell [x=2, y=2], subject=green, time=2015-04-21 20:05:48.972, clock=0]
Tile [id=null, cell=Cell [x=2, y=2], subject=green, time=2015-04-21 20:05:28.387, clock=0]
Tile [id=null, cell=Cell [x=1, y=0], subject=green, time=2015-04-21 20:05:48.963, clock=0]
Tile [id=null, cell=Cell [x=3, y=0], subject=red, time=2015-04-21 20:04:54.937, clock=0]
