-------------------------last log tuples start--------------------------------
Time [clock=35, time=2015-05-26 11:06:30.445]
org notification: Time [clock=35, time=2015-05-26 11:06:30.445]
org notification: Time [clock=35, time=2015-05-26 11:06:30.445]
org notification: Time [clock=35, time=2015-05-26 11:06:30.445]
org notification: Time [clock=35, time=2015-05-26 11:06:30.445]
Time [clock=27, time=2015-05-26 11:06:14.888]
org notification: Time [clock=35, time=2015-05-26 11:06:30.445]
org notification: Time [clock=27, time=2015-05-26 11:06:14.888]
org notification: Time [clock=35, time=2015-05-26 11:06:30.445]
org notification: Time [clock=27, time=2015-05-26 11:06:14.888]
org notification: Time [clock=35, time=2015-05-26 11:06:30.445]
org notification: Time [clock=35, time=2015-05-26 11:06:30.445]
org notification: Time [clock=27, time=2015-05-26 11:06:14.888]
org notification: Time [clock=27, time=2015-05-26 11:06:14.888]
org notification: Time [clock=27, time=2015-05-26 11:06:14.888]
org notification: Time [clock=35, time=2015-05-26 11:06:30.445]
org notification: Time [clock=27, time=2015-05-26 11:06:14.888]
org notification: Time [clock=27, time=2015-05-26 11:06:14.888]
org notification: Time [clock=27, time=2015-05-26 11:06:14.888]
org notification: Time [clock=27, time=2015-05-26 11:06:14.888]
Time [clock=42, time=2015-05-26 11:06:24.522]
org notification: Time [clock=42, time=2015-05-26 11:06:24.522]
org notification: Time [clock=42, time=2015-05-26 11:06:24.522]
org notification: Time [clock=42, time=2015-05-26 11:06:24.522]
org notification: Time [clock=42, time=2015-05-26 11:06:24.522]
org notification: Time [clock=42, time=2015-05-26 11:06:24.522]
org notification: Time [clock=42, time=2015-05-26 11:06:24.522]
org notification: Time [clock=42, time=2015-05-26 11:06:24.522]
org notification: Time [clock=42, time=2015-05-26 11:06:24.522]
org notification: Time [clock=42, time=2015-05-26 11:06:24.522]
Time [clock=50, time=2015-05-26 11:05:38.765]
org notification: Time [clock=50, time=2015-05-26 11:05:38.765]
org notification: Time [clock=50, time=2015-05-26 11:05:38.765]
org notification: Time [clock=50, time=2015-05-26 11:05:38.765]
org notification: Time [clock=50, time=2015-05-26 11:05:38.765]
org notification: Time [clock=50, time=2015-05-26 11:05:38.765]
org notification: Time [clock=50, time=2015-05-26 11:05:38.765]
org notification: Time [clock=50, time=2015-05-26 11:05:38.765]
org notification: Time [clock=50, time=2015-05-26 11:05:38.765]
org notification: Time [clock=50, time=2015-05-26 11:05:38.765]
Time [clock=22, time=2015-05-26 11:06:22.011]
org notification: Time [clock=22, time=2015-05-26 11:06:22.011]
org notification: Time [clock=22, time=2015-05-26 11:06:22.011]
org notification: Time [clock=22, time=2015-05-26 11:06:22.011]
org notification: Time [clock=22, time=2015-05-26 11:06:22.011]
org notification: Time [clock=22, time=2015-05-26 11:06:22.011]
org notification: Time [clock=22, time=2015-05-26 11:06:22.011]
org notification: Time [clock=22, time=2015-05-26 11:06:22.011]
org notification: Time [clock=22, time=2015-05-26 11:06:22.011]
org notification: Time [clock=22, time=2015-05-26 11:06:22.011]
Time [clock=52, time=2015-05-26 11:06:30.271]
org notification: Time [clock=52, time=2015-05-26 11:06:30.271]
org notification: Time [clock=52, time=2015-05-26 11:06:30.271]
org notification: Time [clock=52, time=2015-05-26 11:06:30.271]
